AI; Seth
Sadistic; Bill Cipher, Flowey, Chara, Frisk (Genocide Route)
Sailor; Boun, Captain Ahab, Maui, Moana
Sarcastic; Kazooie, Toph Beifong, Amethyst (Steven Universe)
Scarecrow; Scarecrow (Oz)
Scarf; Hearthstone
Scarred; Sheev Palpatine, Snoke
Schemer; Adam Warlock, Batman, Claude, Damian Wayne, Loki
Scholar; Abraham Van Helsing, Linhardt
Scholarship; Dorothea
Science Power; Atomic Robo, Mettaton
Scientist; Allison Blake, Alphys, Arrolys Larskano, Bob Kerman, Bruce Ng, Captain Nemo, Dr. Bunsen Honeydew, Dr. Samuel Hayden, Gordon Freeman, Jebediah Kerman, Mr. Fantastic, Sans, Valentina Kerman
Scottish; Demoman
Sculptor; Alex Fierro, Leah
Scythe; Ruby Rose
Sea Powers; Aquaman, Moana, Percy Jackson
Secret; Kronya, Solon, Thales
Secret Agent; Carmen Cortez, Juni Cortez
Secretly Immortal; Flayn, Rhea, Seteth
Sentry-Maker; Engineer
Sergeant; Rita Vrataski
Serial Killer; Culverton Smith, Michael Myers
Servant; Alfred Pennyworth, Dedue, Hubert
Sesame Street; Abby Cadabby, Bert, Big Bird, Ernie
Shadaloo; M. Bison, Seth
Shapeshifter; Alex Fierro, Beast Boy, Frank Zhang, Loki, Martian Manhunter, Maui, Miss Martian, Camilo Madrigal, Bismuth, Amethyst (Steven Universe), Garnet
Sharing Body; Byleth, Ultron, Walt Stone, Frisk, Frisk (Genocide Route)
Shazam Family; Captain Marvel Jr., Captain Marvel, Mary Marvel
Shield Generation; Steven Universe, The Invisible Woman
Shields; Captain America, Steven Universe, Fedora Turthin
Shiny; Captain Phasma
Shirai Ryu; Scorpion
Short; Peridot, Amethyst (Steven Universe), Annette, Bernadetta, Edelgard, Sans
Shortpacked! Store; Amazi-Girl
Showman; Mettaton
Shy; Ignatz, Lapis Lazuli, Marianne, Bernadetta, Alphys
Siblings; Anna|Elsa, Azula|Zuko, Bruno Madrigal|Pepa Madrigal, Bruno Madrigal|Julieta Madrigal, Camilo Madrigal|Dolores Madrigal, Camilo Madrigal|Antonio Madrigal, Captain Britain|Psylocke, Captain Marvel|Mary Marvel, Captain Marvel|Captain Marvel Jr., Carter Kane|Sadie Kane, Dolores Madrigal|Camilo Madrigal, Dolores Madrigal|Antonio Madrigal, Elsa|Elsa, Emily|Haley, Gamora|Nebula, Haley|Emily, Iroh|Ozai, Isabela Madrigal|Luisa Madrigal, Isabela Madrigal|Mirabel Madrigal, Jem Finch|Scout Finch, Julieta Madrigal|Bruno Madrigal, Julieta Madrigal|Pepa Madrigal, Katara|Sokka, Leia Organa (Old)|Luke Skywalker, Luigi|Mario, Luisa Madrigal|Isabela Madrigal, Luisa Madrigal|Mirabel Madrigal, Luke Skywalker|Leia Organa, Mario|Luigi, Maru|Sebastian, Mary Marvel|Captain Marvel, Mirabel Madrigal|Isabela Madrigal, Mirabel Madrigal|Luisa Madrigal, Mycroft Holmes|Sherlock Holmes, Nebula|Gamora, Ozai|Iroh, Papyrus|Sans, Pepa Madrigal|Bruno Madrigal, Pepa Madrigal|Julieta Madrigal, Quicksilver|Scarlet Witch, Ruby Rose|Yang Xiao Long, Sadie Kane|Carter Kane, Sans|Papyrus, Scarlet Witch|Quicksilver, Scout Finch|Jem Finch, Sebastian|Maru, Sherlock Holmes|Mycroft Holmes, Sokka|Katara, The Human Torch|The Invisible Woman, The Invisible Woman|The Human Torch, Yang Xiao Long|Ruby Rose, Zuko|Azula
Sidekick; Bucky Barnes, John Watson, Wally West, Bart Allen, Damian Wayne, Jason Todd, Dick Grayson, Tim Drake
Silent; Frisk (Genocide Route), Frisk (Neutral Route), Frisk (Pacifist Route), Frisk, Red (Pokemon)
Singer; Dorothea, Steven Universe
Siren (Borderlands); Amara
Sith Lord; Count Dooku, Darth Maul, Darth Vader, Kylo Ren, Sheev Palpatine, Snoke
Size-Changing; Cassie Lang, Hank Pym, Hope van Dyne, Janet van Dyne, Nadia Van Dyne, Scott Lang
Skateboarder; Sam (Stardew Valley)
Skeleton; Brook, Papyrus, Sans
Skirt-Chaser; Sylvain
Slave; Anakin Skywalker (Young)
Sleepy; Linhardt
Slightly Insane; Adrian Monk, Bruno Madrigal, Captain Ahab
Slob; Jabba the Hutt
Small; Araithia Shokta, Bernadetta, Peridot
Smuggler; Chewbacca, Han Solo (Old), Han Solo, Lando Calrissian, Yondu
Snowman; Olaf
Soldier; Ahsoka Tano, Alyx, Amilyn Holdo, Anakin Skywalker, Ashley Williams, Billy Pilgrim, Bolin, Cal Kestis, Captain John H. Miller, Captain Phasma, Cara Dune, Carol Danvers, Count Dooku, Darth Maul, Darth Vader, Doomslayer, Finn, General Grievous, Grand Moff Tarkin, Guile, Hal Jordan, Jar Jar Binks, Jenkins, John Stewart, John Watson, Lando Calrissian, Leonie, Mace Windu, Moff Gideon, Namaari, Obi-Wan Kenobi, Rita Vrataski, Ronan the Accuser, Rose Tico, Suki, Thomas Jefferson Jr., Undyne, War Machine, William Cage, Bismuth, Garnet, Pearl, Peridot
Sole Human; Frisk (Genocide Route), Frisk (Neutral Route), Frisk (Pacifist Route), Frisk
Soul Powers; Chara, Flowey, Frisk (Genocide Route), Frisk (Neutral Route), Frisk (Pacifist Route), Frisk
Soulless; Flowey
Southern; Engineer, Applejack, Quincey Morris
Space Police; Sam Alexander
Special Forces; Alfred Pennyworth, Ronan the Accuser
Speedsters; Aurora, Barry Allen, Bart Allen, Irey West, Jai West, Jay Garrick, Jesse Quick, Max Mercury, Northstar, Quicksilver, Scout, Sonic the Hedgehog, Wally West II, Wally West
Spider-Person; Miles Morales, Spider-Man
Spider-Themed (Tangential); MJ Watson (MCU), Miles Morales, Spider-Man
Spirit; Chara, Zulen Kal-Thim
Split Personality; Aurora, Reithen Keiros, Zulen Kal-Thim
Spy; Black Widow, Carmen Cortez, Juni Cortez, Spy
Spy Kids; Carmen Cortez, Juni Cortez
Stage Magician; Wizard of Oz
Star Trek Captains; Captain Kirk
Star Trek: The Original Series; Captain Kirk
Stardew Valley Bachelorettes; Abigail, Emily, Haley, Leah, Maru, Penny
Stardew Valley Bachelors; Alex, Elliot, Harvey, Sam (Stardew Valley), Sebastian, Shane
Stoic; Guile, Mai, Ryu, Garnet
Store Clerk; Amazi-Girl
Storm; Jason Grace
Straight Man; Bert, LeBron
Strategist; Bean, Sokka, Leia Organa
Straw Hat Pirates; Brook
Straw-Stuffed; Scarecrow (Oz)
Street Fighter; Akuma, Chun-Li, Guile, Ken, M. Bison, Ryu, Seth
Stressed; Luisa Madrigal, Pepa Madrigal
Stretching; Mr. Fantastic, Ms. Marvel
Strong; Amadeus Cho, Bismuth, Brick, Brimstone, Buford Van Stomm, Dedue, Garnet, Heavy, Hulk, John Proudstar, Raphael, Caspar, Catherine, Hilda, Undyne, Luisa Madrigal, Wonder Woman, Superman, Supergirl, Kal-L, Carol Danvers, Captain Marvel, Blue Marvel, Colossus, The Thing
Strong Will; Ann Takamaki, Frisk, Frisk (Genocide Route), Frisk (Pacifist Route), Frisk (Neutral Route), Undyne
Studious; Annette, Hermione Granger, Connie Maheswaran
Suave; Boun, Han Solo, Star-Lord, Lando Calrissian, Sylvain
Submarine; Captain Nemo
Suicide Squad; Amanda Waller, Captain Boomerang
Summer; Olaf, Dipper Pines, Mabel Pines
Super Smash Bros; Banjo, Bayonetta, Bowser Jr., Bowser, Captain Falcon, Isabelle, Kazooie, Ken, Luigi, Mario, Princess Daisy, Princess Peach, Rosalina, Ryu
Super Smash Bros Original Cast; Mario
Super Smash Bros Ultimate DLC; Banjo, Kazooie
Super-Hearing; Dolores Madrigal, Superman, Supergirl
Super-Soldier Serum; Bucky Barnes, Captain America, Black Widow
Superheroes; Agent Venom, Alan Scott, Amazi-Girl, Angel, Aurora, Barbara Gordon, Barry Allen, Bart Allen, Batman, Beast, Black Canary, Carol Danvers, Cassie Lang, Colossus, Cyclops, Damian Wayne, Dick Grayson, Hal Jordan, Hank Pym, Hawkgirl, Hippolyta, Hope van Dyne, Irey West, Jai West, Janet van Dyne, Jason Todd, Jay Garrick, Jesse Quick, John Proudstar, John Stewart, Kal-L, Martian Manhunter, Max Mercury, Miles Morales, Miss Martian, Monica Rambeau, Ms. Marvel, Nadia Van Dyne, Nightcrawler, Northstar, Sam Alexander, Scott Lang, Storm, Sunfire, Supergirl, Superman, Tim Drake, Viv Vision, Wally West II, Wally West, Wolverine, Wonder Woman, Wonder Woman, Young Cyclops
Supersonics; Banshee
Supervillains; Alexander Luthor Jr., Baron Zemo, Superboy Prime
Supreme Overlords; Colin Frazer, Jono Jenkins, Zach Wiebe
Survivalist; Brian Robeson, Maxwell
Maheswaran
Swordsman; Aragorn, Arya, Boromir, Brook, Catherine, Felix, Gamora, Nebula, Petra (Fire Emblem), Connie Maheswaran
Symbiote; Agent Venom
TV Star; Mettaton
Tailor; Blitzen
Talon; Sombra
Taxi Driver; Fuzzy, Sam (Sam and Fuzzy)
Teacher; Penny, Toriel
Team Avatar (Korra); Asami Sato, Bolin, Korra
Team Fortress 2; Demoman, Engineer, Heavy, Medic, Pyro, Scout, Sniper, Soldier, Spy
Tech; Atomic Robo, Batman, Black Panther, Bowser Jr., Brainiac 5, Cassie Lang, Cyborg, Damian Wayne, Doctor Eggman, Hank Pym, Hope van Dyne, Iron Lad, Iron Man, Ironheart, Janet van Dyne, Maru, Nadia Van Dyne, Peridot, Rocket Raccoon, Scott Lang, Tim Drake, Vulture, War Machine
Technically Two Lesbians in a Trenchcoat; Garnet
Teen Titans; Bart Allen, Beast Boy, Cyborg, Damian Wayne, Dick Grayson, Jason Todd, Miss Martian, Tim Drake, Wally West II, Wally West
Teleportation; Blink, Chell, Glimmer, Nightcrawler
Terrifying; Doomslayer, Darth Vader, Batman
Tesla-Tech; Atomic Robo
Test Subject; Chell
The Princess Alliance; Adora, Bow, Glimmer, Catra
The Therapist; Byleth, Mirabel Madrigal, Steven Universe
Thief; Dyan, Noi, Pan, Uka
Thorin and Company; Bilbo Baggins
Thunderbolts (Team); Hawkeye
Time Displaced X-Men; Young Cyclops
Time Loop; Omega (Edge of Tomorrow), Rita Vrataski, William Cage, Frisk, Frisk (Genocide Route), Frisk (Neutral Route), Frisk (Pacifist Route)
Time Traveler; Billy Pilgrim, Booster Gold, Dana Franklin, Iron Lad, Young Cyclops
Titan; Thanos
Tomboy; Korra, Princess Daisy, Scout Finch
Top Hats; Caesar Anthonio Zeppeli
Town Guard; Bard the Bowman, Fedora Turthin
Tragic Backstory; Batman, Chun-Li, Guile, Scorpion, Wolverine, Zuko
Traitor; Count Dooku, Finn, Namaari, Ruby Rider, Sheev Palpatine
Transforming; Adora, Captain Marvel Jr., Captain Marvel, Mary Marvel, Thor
Traumatized; Elsa, Lapis Lazuli, Zuko, Steven Universe, Dimitri
Tribal; Aloy
Trick Arrows; Bow, Green Arrow, Hawkeye
Trickster; Bill Cipher, Claude, Loki
Trinity (DC); Batman, Superman, Wonder Woman
Twins; Aurora|Northstar, Dipper Pines|Mabel Pines, Grunkle Stan|Stanford Pines, Irey West|Jai West, Jai West|Irey West, Leia Organa|Luke Skywalker, Mabel Pines|Dipper Pines, Northstar|Aurora, Stanford Pines|Grunkle Stan
USAvengers; Cannonball
Ultimates (Team); America Chavez, Black Panther, Blue Marvel, Carol Danvers, Monica Rambeau
Unbroken Gang; Arrolys Larskano, Fedora Turthin, Garrik Doriana, IKCFAMWSIIF, Lorana Ritten, Reithen Keiros, Terrence the Baby Tarrasque, Yekkon Shmalakis, Zulen Kal-Thim
Uncle; Amos Kane
Undead; Brook, Dracula, Lord Voldemort, Scorpion
United States; Guile
Unkempt; Bruno Madrigal, Dimitri
Uptight; Pearl, Ingrid
VR (Augumented Reality); Akihide Karatsu
Vain; Maui, Papyrus
Valkyrie; Samirah al-Abbas
Valve; Chell, Demoman, Engineer, Heavy, Medic, Pyro, Scout, Sniper, Soldier, Spy
Vampire; Dracula
Vault Hunter; Amara, Axton, Brick
Veteran; John Watson, Sniper, Alfred Pennyworth
Vice-Admiral; Amilyn Holdo
Viking; Halfborn Gunderson
WWII; Alan Scott, Billy Pilgrim, Captain America, Hippolyta, Jay Garrick
Wanderer; Raya
Warlock; Garrik Doriana, Ruby Rider, Yekkon Shmalakis
Warlord; General Grievous
Water Bender; Aang, Katara, Korra
Water Dragon; Sisu
Water Powers; Aang, Aquaman, Katara, Korra, Lapis Lazuli, Moana, Percy Jackson, Sisu, Lapis Lazuli
Weasley; Arthur Weasley, Bill Weasley, Ginny Weasley, Ron Weasley
Weather Powers; Jason Grace, Pepa Madrigal, Storm
Weather-Controlled-By-Emotions; Pepa Madrigal
Webcomics; Atomic Robo, Jenkins
Webtoon; Anna Croft
Weelchair; Barbara Gordon
Whips; Amethyst (Steven Universe)
Wilderness; Brian Robeson
Wings; Vulture
Wise; Albus Dumbledore, Iroh, Kuiil
Witch; Bayonetta, Glinda the Good Witch, Wicked Witch of the West
Wizard; Albus Dumbledore, Arthur Weasley, Bill Weasley, Fleur Delacour, Ginny Weasley, Harry Potter, Hearthstone, Hermione Granger, Kalathos Sunstrider, Lord Voldemort, Ron Weasley, Squee, Wizard of Oz
Wookie; Chewbacca
World Destroyer; Anti-Monitor, the Icon of Sin
Writer; Alan Wake, Dana Franklin, Elliot
X-Men; Angel, Armor, Aurora, Banshee, Beast, Blink, Cannonball, Colossus, Cyclops, John Proudstar, Nightcrawler, Northstar, Psylocke, Quicksilver, Scarlet Witch, Storm, Sunfire, Wolverine, Young Cyclops
X-Men First Class; Angel, Beast, Cyclops
Yin & Yang; Captain America|Iron Man, Caspar|Linhardt, Catherine|Shamir, Iroh|Zuko, Iron Man|Captain America, Linhardt|Caspar, Sam (Stardew Valley)|Sebastian, Sebastian|Sam, Shamir|Catherine, Zuko|Iroh
YouTube; Extortionist Hobo, LeBron
Young; Lysithea, Miles Morales, Ms. Marvel, Sam Alexander, Steven Universe, Connie Maheswaran, Aang
Young Avengers; America Chavez, Iron Lad
Young Justice; Amethyst, Bart Allen, Miss Martian, Wally West
Young X-Men; Anole, Armor
Zen; Iroh, Max Mercury
